"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.120622875E0,1.952240295E0,1.247700394E1,1.547781372E-1
2.130620875E0,2.693049774E0,1.365789825E1,3.549119568E-1
2.140618875E0,3.103047180E0,1.446561859E1,7.306306458E-1
2.150617875E0,3.591780853E0,1.602971603E1,6.713539124E-1
2.160615875E0,3.999233551E0,1.816278030E1,1.883084106E-1
2.170614875E0,4.246669006E0,1.978810043E1,-3.697311401E-1
2.180612875E0,4.153862000E0,1.989123596E1,-5.504054260E-1
2.190611875E0,3.300037537E0,1.754471558E1,-3.438349915E-1
2.200609875E0,2.245330811E0,1.421309372E1,2.778222656E-1
2.210607875E0,1.653461609E0,1.207029968E1,5.869294739E-1
2.220606875E0,1.252595215E0,1.052371582E1,1.550775146E-1
2.230604875E0,4.505630493E-1,8.843908997E0,-2.871029663E-1
2.240603875E0,1.010997620E0,7.370223541E0,-1.016536102E0
2.250601875E0,1.595532074E0,6.444398804E0,-1.663640442E0
2.260599875E0,8.204438782E-1,5.910608826E0,-1.386865997E0
2.270598875E0,4.152365112E-1,6.302194519E0,-7.776329041E-1
2.280596875E0,-4.716691589E-1,6.940167847E0,-8.000862122E-1
2.290595875E0,-1.130149841E0,7.311395874E0,6.144721985E-1
2.300593417E0,-1.595532074E0,7.649991760E0,7.819738770E-1
2.310591417E0,-2.444416809E0,7.468419342E0,1.742376709E-1
2.320590417E0,-3.462599487E0,6.543492737E0,-1.010398865E0
2.330588417E0,-3.470383301E0,5.889802094E0,-2.294129333E0
2.340587417E0,-2.043101349E0,5.286257172E0,-2.818937988E0
2.350585417E0,-9.909393311E-2,4.763244781E0,-1.587897949E0
2.360583417E0,1.596579895E0,4.910239105E0,-4.441264343E-1
2.370582417E0,1.798659668E0,4.892126770E0,-5.275030518E-1
2.380580417E0,1.947599945E0,5.231171722E0,-9.352551270E-1
2.390579417E0,1.852697296E0,5.058880005E0,-7.057823181E-1
2.400577417E0,1.957329712E0,4.222569122E0,-6.216572571E-1
2.410575417E0,1.821262665E0,3.309916992E0,-6.893165588E-1
2.420574417E0,1.504671021E0,2.672243042E0,-7.198530579E-1
2.430572417E0,1.327888641E0,2.401007080E0,-4.138893127E-1
2.440571417E0,1.381626892E0,2.425855408E0,2.243833923E-1
2.450569417E0,1.634900208E0,2.698288879E0,9.833052063E-1
2.460567417E0,1.425934753E0,3.056793365E0,1.953587494E0
2.470566417E0,6.721023560E-1,3.628005524E0,2.854114838E0
2.480564417E0,4.544549561E-1,4.950355682E0,4.232598267E0
2.490563417E0,-6.367758179E-1,6.880442047E0,6.751410370E0
2.500561417E0,-1.308728485E0,1.056413177E1,9.920170898E0
2.510559417E0,-1.039887543E0,1.625125534E1,1.234363129E1
2.520558417E0,-6.357279968E-1,2.359513367E1,1.202688995E1
2.530556417E0,-1.593436432E0,2.745470764E1,1.131886230E1
2.540555417E0,-2.070344696E0,2.331282074E1,1.282338364E1
2.550553417E0,5.539979553E-1,1.730521362E1,1.196267349E1
2.560551417E0,2.744093628E0,1.209844116E1,1.029080017E1
2.570550417E0,3.260669403E0,7.775730286E0,8.976682892E0
2.580548417E0,3.750001831E0,5.628894653E0,6.878795471E0
2.590547417E0,3.918251953E0,5.123096466E0,4.305047607E0
2.600545417E0,4.033661957E0,5.820496216E0,3.640130310E0
2.610544417E0,3.776047668E0,7.602540436E0,4.653672638E0
2.620542417E0,2.861748962E0,1.123608444E1,3.382815399E0
2.630540417E0,1.869462433E0,1.585233490E1,2.189347229E0
