"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.404324417E0,5.937110186E-1,-6.923080683E-1,-9.294596910E-1
2.414322417E0,9.158827066E-1,-3.790923357E-1,-9.858148098E-1
2.424321417E0,1.206446767E0,-1.201300249E-1,-1.013102889E0
2.434319417E0,1.476549625E0,6.394926459E-2,-1.049112797E0
2.444318417E0,1.738088608E0,2.025502920E-1,-1.063715100E0
2.454316417E0,1.986555934E0,2.388254851E-1,-1.065596938E0
2.464314417E0,2.203691244E0,2.434945256E-1,-1.119807363E0
2.474313417E0,2.277409554E0,5.465055108E-1,-1.069010973E0
2.484311417E0,2.204393625E0,8.914683461E-1,-1.039554000E0
2.494310417E0,1.918383718E0,1.315417528E0,-9.326129556E-1
2.504308417E0,1.515573025E0,1.708412051E0,-7.091773152E-1
2.514306417E0,1.135526896E0,2.129678488E0,-3.180215657E-1
2.524305417E0,6.934835911E-1,2.193747044E0,-5.748944357E-2
2.534303417E0,-7.486879081E-2,9.614354968E-1,-2.226693481E-1
2.544302417E0,-7.432197928E-1,-5.623434782E-1,-3.371516168E-1
2.554300417E0,-9.650216699E-1,-1.415178537E0,-2.327804565E-1
2.564298417E0,-8.630321622E-1,-1.697483301E0,-8.322806656E-2
2.574297417E0,-6.543388367E-1,-1.773635864E0,1.373136342E-1
2.584295417E0,-5.689823031E-1,-1.695398450E0,3.744831681E-1
2.594294417E0,-5.996012092E-1,-1.605795026E0,6.383222342E-1
2.604292417E0,-8.176625967E-1,-1.426873565E0,8.212570548E-1
2.614291417E0,-9.836624861E-1,-8.792908192E-1,8.795257211E-1
2.624289417E0,-6.713526845E-1,-3.902756572E-1,8.018572330E-1
2.634287417E0,-1.637233347E-1,2.822944820E-1,4.172490835E-1
2.644286417E0,-1.570396125E-5,1.637146831E0,1.641389281E-1
2.654284417E0,4.156842828E-1,3.523276806E0,1.737175137E-1
2.664283417E0,6.837835908E-1,4.484967709E0,2.019609064E-1
2.674281417E0,5.935751796E-1,4.220741749E0,2.006682009E-1
2.684279417E0,5.184146166E-1,3.119049549E0,2.437997013E-1
2.694278417E0,4.127603769E-1,1.419491768E0,3.196896613E-1
2.704276417E0,5.665476322E-1,-3.499608859E-2,4.555581808E-1
2.714275417E0,7.931781411E-1,-1.404487491E-1,7.695555091E-1
2.724273417E0,1.044109464E0,8.949883580E-1,1.208588243E0
2.734271417E0,1.397888780E0,2.192479134E0,1.517662525E0
2.744270417E0,1.734701753E0,2.892122984E0,1.655843019E0
2.754268417E0,2.014104128E0,3.137864351E0,1.749099731E0
2.764267417E0,2.175570011E0,3.353901863E0,1.888666749E0
2.774265417E0,2.145779371E0,3.448655128E0,1.954993367E0
2.784263417E0,1.690144420E0,2.604147196E0,1.486501098E0
2.794262417E0,7.117516994E-1,1.048551917E0,5.005853176E-1
2.804260417E0,-8.306949586E-2,-1.209916268E-2,-3.864260316E-1
2.814259417E0,5.195133090E-1,6.450106949E-2,-7.835707068E-1
2.824257417E0,1.705164909E0,5.228244662E-1,-6.267065406E-1
2.834255417E0,2.248764992E0,5.446679592E-1,-5.108867288E-1
2.844254417E0,2.186878443E0,2.390168160E-1,-4.699861109E-1
2.854252417E0,1.749159694E0,5.438385159E-2,-4.707275331E-1
2.864251417E0,1.330116153E0,-1.087077521E-2,-4.075443745E-1
2.874249417E0,1.124669790E0,-9.206733666E-4,-2.409631312E-1
2.884247417E0,1.212443233E0,-3.202041239E-2,-1.610335410E-1
2.894246417E0,1.372399807E0,9.640759975E-2,-1.228313074E-1
2.904244417E0,1.334261060E0,5.781545043E-1,-8.165840060E-2
2.914243417E0,1.192959666E0,1.080081344E0,-2.481855452E-2
2.924241417E0,1.012842178E0,1.497449040E0,-2.625038382E-3
2.934239417E0,8.618181348E-1,1.923691392E0,-4.189414904E-2
2.944238417E0,7.779889703E-1,2.196579456E0,-1.272132546E-1
2.954236417E0,7.292131782E-1,2.175095320E0,-2.170608640E-1
2.964235417E0,7.921909094E-1,1.918554068E0,-2.385468334E-1
2.974233417E0,9.455700517E-1,1.520239115E0,-1.337434500E-1
2.984231417E0,1.087260842E0,1.122109652E0,3.940568864E-2
2.994230417E0,1.093456149E0,7.955229282E-1,1.797907650E-1
3.004228417E0,9.977638721E-1,6.145501137E-1,2.304838896E-1
3.014227417E0,1.008416772E0,7.387082577E-1,2.708496749E-1
3.024225417E0,1.157419324E0,9.284326434E-1,3.475801349E-1
3.034223417E0,1.351567030E0,8.836958408E-1,4.273319542E-1
3.044222417E0,1.511940002E0,5.296482444E-1,5.195943117E-1
3.054220417E0,1.571954966E0,2.285801433E-2,6.520122886E-1
3.064219417E0,1.495304585E0,-3.678638041E-1,7.371239662E-1
3.074217417E0,1.333350062E0,-3.760215938E-1,7.624288201E-1
3.084215417E0,1.072663188E0,-2.982009016E-2,7.646360397E-1
3.094214417E0,7.307662964E-1,5.664230585E-1,7.483206987E-1
3.104212417E0,3.227287531E-1,1.205035448E0,6.903066039E-1
3.114211417E0,-3.629251942E-2,1.665663242E0,5.986065269E-1
3.124209417E0,-2.162605077E-1,1.791006207E0,4.239008725E-1
3.134207417E0,-1.516668797E-1,1.541666150E0,1.650048494E-1
3.144206417E0,8.336686343E-2,1.006491184E0,-1.059911549E-1
3.154204417E0,3.249155581E-1,3.120962381E-1,-3.071692586E-1
3.164203417E0,5.141744614E-1,-2.609035075E-1,-3.984121382E-1
3.174201417E0,5.545521975E-1,-5.526568294E-1,-4.717041850E-1
3.184199417E0,3.454766273E-1,-4.997054636E-1,-5.388835669E-1
3.194198417E0,-7.335286587E-2,-1.565699279E-1,-4.734550416E-1
3.204196417E0,-5.561375618E-1,1.043523476E-1,-2.489229292E-1
3.214195417E0,-1.010731459E0,2.307479829E-2,1.888615265E-2
3.224193417E0,-1.348393559E0,-4.025196433E-1,1.771513373E-1
3.234191417E0,-1.655714273E0,-9.045616984E-1,1.664907038E-1
3.244190417E0,-1.905116320E0,-1.289475560E0,-7.468825579E-2
3.254188417E0,-2.004838228E0,-1.713220477E0,-5.006552935E-1
3.264187417E0,-2.063671112E0,-2.062905312E0,-7.777438760E-1
3.274185417E0,-2.366628170E0,-2.086220980E0,-8.181677461E-1
3.284183417E0,-2.885167122E0,-1.771739602E0,-7.816069126E-1
3.294182417E0,-3.213687897E0,-1.278771400E0,-7.562150359E-1
3.304180375E0,-3.290329218E0,-8.974092603E-1,-8.497180939E-1
3.314179375E0,-3.293339252E0,-6.189195514E-1,-9.188340306E-1
3.324177375E0,-3.248215437E0,-4.177187085E-1,-9.417421818E-1
3.334175375E0,-3.166240931E0,-3.455385268E-1,-9.740854502E-1
