"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.118418917E0,8.967851257E-1,-7.665559387E-1,9.774673462E0,9.845611858E0
2.128416917E0,8.930429077E-1,-7.641609192E-1,9.789193268E0,9.859501629E0
2.138414917E0,8.918453979E-1,-7.517367554E-1,9.775571594E0,9.844912207E0
2.148412917E0,8.901988220E-1,-7.563771057E-1,9.769584045E0,9.839173374E0
2.158411917E0,8.846603394E-1,-7.491920471E-1,9.772428131E0,9.840948339E0
2.168409917E0,8.837622070E-1,-7.463479614E-1,9.785600739E0,9.853732934E0
2.178407917E0,8.695417786E-1,-7.379653931E-1,9.788444824E0,9.854661227E0
2.188405917E0,8.744815063E-1,-7.544311523E-1,9.788295135E0,9.856196322E0
2.198403917E0,8.842112732E-1,-7.656578064E-1,9.785451050E0,9.855105971E0
2.208401917E0,8.836125183E-1,-7.702981567E-1,9.777816925E0,9.847833983E0
2.218399917E0,8.922944641E-1,-7.779322815E-1,9.761650543E0,9.833167820E0
2.228397917E0,8.949888611E-1,-7.839198303E-1,9.739346924E0,9.811748767E0
2.238395917E0,8.969348145E-1,-7.857160950E-1,9.729467468E0,9.802263976E0
2.248393917E0,9.048683167E-1,-7.795788574E-1,9.741741943E0,9.814686238E0
2.258392917E0,9.219328308E-1,-7.673043823E-1,9.748777313E0,9.822289716E0
2.268390917E0,9.259744263E-1,-7.755372620E-1,9.774523773E0,9.848868040E0
2.278388917E0,9.407936096E-1,-7.702981567E-1,9.788145447E0,9.863378891E0
2.288386917E0,9.494755554E-1,-7.604187012E-1,9.800419922E0,9.875625098E0
2.298384917E0,9.445358276E-1,-7.622149658E-1,9.801168365E0,9.876032650E0
2.308382917E0,9.542655945E-1,-7.767347717E-1,9.784103851E0,9.861167674E0
2.318380917E0,9.442364502E-1,-7.873626709E-1,9.760153656E0,9.837282238E0
2.328378917E0,9.283694458E-1,-8.167016602E-1,9.749525757E0,9.827620460E0
2.338376917E0,9.253756714E-1,-8.325686646E-1,9.734856262E0,9.814118257E0
2.348375917E0,9.228309631E-1,-8.318202209E-1,9.721983032E0,9.801045656E0
2.358373917E0,9.032217407E-1,-8.277786255E-1,9.723629608E0,9.800510177E0
2.368371917E0,9.018745422E-1,-8.187973022E-1,9.723180542E0,9.799186015E0
2.378369917E0,8.960366821E-1,-8.056246948E-1,9.736353149E0,9.810631251E0
2.388367917E0,8.891510010E-1,-7.991880798E-1,9.743388519E0,9.816461222E0
2.398365917E0,8.777746582E-1,-7.984396362E-1,9.754315796E0,9.826223631E0
2.408363917E0,8.699908447E-1,-8.029302979E-1,9.748178558E0,9.819804801E0
2.418361917E0,8.812174988E-1,-7.999365234E-1,9.760752411E0,9.833042782E0
2.428359917E0,8.797206116E-1,-8.018824768E-1,9.770033112E0,9.842279759E0
2.438357917E0,9.000782776E-1,-7.893086243E-1,9.776918793E0,9.849938583E0
2.448356917E0,9.074130249E-1,-7.789801025E-1,9.781858521E0,9.854692512E0
2.458354917E0,9.172924805E-1,-7.807763672E-1,9.773775330E0,9.847726713E0
2.468352917E0,9.304650879E-1,-7.683522034E-1,9.787846069E0,9.861950165E0
2.478350917E0,9.383985901E-1,-7.586224365E-1,9.778265991E0,9.852440597E0
2.488348917E0,9.300160217E-1,-7.590715027E-1,9.762398987E0,9.835931747E0
2.498346917E0,9.259744263E-1,-7.635621643E-1,9.754764862E0,9.828320982E0
2.508344917E0,9.187893677E-1,-7.665559387E-1,9.758806458E0,9.831891241E0
2.518342917E0,9.110055542E-1,-7.488926697E-1,9.758806458E0,9.829805432E0
2.528340917E0,8.963360596E-1,-7.487429810E-1,9.768835602E0,9.838403498E0
2.538339917E0,8.964857483E-1,-7.515870667E-1,9.769434357E0,9.839228499E0
2.548337917E0,8.952882385E-1,-7.568261719E-1,9.774972839E0,9.845020106E0
2.558335917E0,8.885522461E-1,-7.602690125E-1,9.780211945E0,9.849877144E0
2.568333917E0,8.913963318E-1,-7.711962891E-1,9.786049805E0,9.856779490E0
2.578331917E0,8.845106506E-1,-7.680528259E-1,9.778565369E0,9.848482365E0
2.588329917E0,8.833131409E-1,-7.689509583E-1,9.763596497E0,9.833582472E0
2.598327917E0,8.755293274E-1,-7.699987793E-1,9.756261749E0,9.825685373E0
2.608325917E0,8.598120117E-1,-7.750881958E-1,9.728719025E0,9.797347206E0
2.618323917E0,8.443940735E-1,-7.613168335E-1,9.738748169E0,9.804887586E0
2.628322917E0,8.472381592E-1,-7.535330200E-1,9.742939453E0,9.808694801E0
2.638320917E0,8.451425171E-1,-7.529342651E-1,9.741592255E0,9.807129832E0
2.648318917E0,8.569679260E-1,-7.444020081E-1,9.740694122E0,9.806612583E0
2.658316125E0,8.626560974E-1,-7.499404907E-1,9.761051788E0,9.827752454E0
2.668314125E0,8.749305725E-1,-7.562274170E-1,9.782307587E0,9.850427662E0
2.678312125E0,8.655001831E-1,-7.711962891E-1,9.781110077E0,9.849565910E0
2.688310125E0,8.655001831E-1,-7.710466003E-1,9.767189026E0,9.835730013E0
2.698308125E0,8.683442688E-1,-7.803273010E-1,9.759854279E0,9.829429689E0
2.708306125E0,8.735833740E-1,-7.955955505E-1,9.752519531E0,9.823836185E0
2.718305125E0,8.557704163E-1,-8.014334106E-1,9.743238831E0,9.813528490E0
2.728303125E0,8.556207275E-1,-8.041278076E-1,9.745783539E0,9.816262280E0
2.738301125E0,8.523275757E-1,-8.080197144E-1,9.737251282E0,9.807824462E0
2.748299125E0,8.566685486E-1,-8.027806091E-1,9.727970581E0,9.798558533E0
2.758297125E0,8.619076538E-1,-8.060737610E-1,9.752519531E0,9.823659039E0
2.768295125E0,8.653504944E-1,-8.083190918E-1,9.749076691E0,9.820728463E0
2.778293125E0,8.605604553E-1,-8.057743835E-1,9.755962372E0,9.826934337E0
2.788291125E0,8.657995605E-1,-7.964936829E-1,9.770931244E0,9.841499298E0
2.798289125E0,8.731343079E-1,-7.996371460E-1,9.774523773E0,9.845968621E0
2.808287125E0,8.849597168E-1,-7.902067566E-1,9.780062256E0,9.851761170E0
2.818286125E0,8.910969543E-1,-7.788304138E-1,9.795480194E0,9.866714895E0
2.828284125E0,9.018745422E-1,-7.758366394E-1,9.775721283E0,9.847843763E0
2.838282125E0,9.208850098E-1,-7.815248108E-1,9.767488403E0,9.841881931E0
2.848280125E0,9.273216248E-1,-7.732919312E-1,9.764943695E0,9.839310503E0
2.858278125E0,9.391470337E-1,-7.735913086E-1,9.763596497E0,9.839118721E0
2.868276125E0,9.354048157E-1,-7.628137207E-1,9.750423889E0,9.824847732E0
2.878274125E0,9.301657104E-1,-7.616162109E-1,9.752220154E0,9.826040170E0
2.888272125E0,9.189390564E-1,-7.623646545E-1,9.751172333E0,9.824001767E0
2.898270125E0,9.156459045E-1,-7.821235657E-1,9.761800232E0,9.835795263E0
2.908269125E0,9.240284729E-1,-7.894583130E-1,9.757908325E0,9.833303002E0
2.918267125E0,9.159452820E-1,-7.951464844E-1,9.755662994E0,9.830776884E0
2.928265125E0,9.063652039E-1,-8.026309204E-1,9.758656769E0,9.833468168E0
2.938263125E0,8.985813904E-1,-7.943980408E-1,9.759255524E0,9.832679449E0
2.948261125E0,9.011260986E-1,-7.882608032E-1,9.759405212E0,9.832566981E0
2.958259125E0,9.008267212E-1,-7.864645386E-1,9.760902100E0,9.833881484E0
2.968257125E0,9.018745422E-1,-7.813751221E-1,9.765841827E0,9.838475053E0
2.978255125E0,9.047186279E-1,-7.667056274E-1,9.786349182E0,9.857940131E0
2.988253125E0,8.863069153E-1,-7.770341492E-1,9.796977081E0,9.867627980E0
2.998252125E0,8.725355530E-1,-7.735913086E-1,9.794432373E0,9.863603161E0
3.008250125E0,8.628057861E-1,-7.750881958E-1,9.772428131E0,9.841013521E0
