"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.841810875E0,-2.076032867E0,9.195677490E0,2.902613983E0,9.863851424E0
1.851808875E0,-2.032024384E0,9.212292938E0,2.816992035E0,9.845349582E0
1.861806875E0,-1.972448273E0,9.273365936E0,2.715503082E0,9.862039595E0
1.871804875E0,-1.945204926E0,9.303752747E0,2.626138916E0,9.861046749E0
1.881803875E0,-1.915117493E0,9.310788116E0,2.570305023E0,9.847076636E0
1.891801875E0,-1.896556091E0,9.277407532E0,2.560126190E0,9.809253877E0
1.901799875E0,-1.913919983E0,9.220525818E0,2.571053467E0,9.761736628E0
1.911797875E0,-1.906734924E0,9.170230408E0,2.551893311E0,9.707776433E0
1.921795875E0,-1.881138153E0,9.158554688E0,2.545905762E0,9.690172386E0
1.931794875E0,-1.837279358E0,9.176367645E0,2.528691559E0,9.694101279E0
1.941792875E0,-1.803449707E0,9.216334534E0,2.551593933E0,9.731592094E0
1.951790875E0,-1.773212585E0,9.280251617E0,2.597698059E0,9.798744214E0
1.961788875E0,-1.767374725E0,9.327852631E0,2.634820862E0,9.852650866E0
1.971786875E0,-1.810185699E0,9.341773682E0,2.633922729E0,9.873350836E0
1.981785875E0,-1.887275391E0,9.335337067E0,2.644550629E0,9.884532087E0
1.991783875E0,-1.969753876E0,9.298663330E0,2.644101562E0,9.865918261E0
2.001781875E0,-2.050136719E0,9.276210022E0,2.642904053E0,9.860835399E0
2.011779875E0,-2.071242828E0,9.304800568E0,2.654879150E0,9.895339497E0
2.021777875E0,-2.065854034E0,9.329499207E0,2.676584015E0,9.923276189E0
2.031776875E0,-2.060465240E0,9.346863098E0,2.665806427E0,9.935587083E0
2.041774875E0,-2.050585785E0,9.331445160E0,2.593057709E0,9.899733285E0
2.051772875E0,-2.016606445E0,9.307045898E0,2.550546112E0,9.858655607E0
2.061770875E0,-1.934577026E0,9.296867065E0,2.630629578E0,9.853656046E0
2.071769875E0,-1.883383484E0,9.279054108E0,2.707270203E0,9.847704831E0
2.081768875E0,-1.879940643E0,9.215436401E0,2.695744171E0,9.783939980E0
2.091766875E0,-1.888921967E0,9.143286438E0,2.656226349E0,9.706866204E0
2.101764875E0,-1.884131927E0,9.095236359E0,2.620450745E0,9.650908747E0
2.111762875E0,-1.846709747E0,9.096134491E0,2.653232574E0,9.653478268E0
2.121761875E0,-1.812880096E0,9.146280212E0,2.722089386E0,9.713431247E0
2.131759875E0,-1.799557800E0,9.230405273E0,2.751428375E0,9.798425786E0
2.141757875E0,-1.839973755E0,9.283095703E0,2.749931488E0,9.855125186E0
2.151755875E0,-1.911824341E0,9.299561462E0,2.767445068E0,9.889169222E0
2.161753875E0,-2.044747925E0,9.233848114E0,2.784659271E0,9.858969131E0
2.171752875E0,-2.085463257E0,9.282496948E0,2.669848022E0,9.881396412E0
2.181750875E0,-2.040706329E0,9.376501465E0,2.580483856E0,9.936908925E0
2.191748875E0,-2.035018158E0,9.322314148E0,2.583477631E0,9.885403211E0
2.201746875E0,-1.999691620E0,9.266330566E0,2.574645996E0,9.823057098E0
2.211744875E0,-1.966909790E0,9.229956207E0,2.587369537E0,9.785464058E0
2.221743875E0,-1.945504303E0,9.191635895E0,2.566862183E0,9.739606711E0
2.231741875E0,-1.930984497E0,9.169332275E0,2.528092804E0,9.705493740E0
2.241739875E0,-1.921404419E0,9.180409241E0,2.526446228E0,9.713631623E0
2.251737875E0,-1.917512512E0,9.194629669E0,2.574346619E0,9.738856683E0
2.261735875E0,-1.906585236E0,9.223968658E0,2.665806427E0,9.788931963E0
2.271734875E0,-1.889520721E0,9.266629944E0,2.709814911E0,9.837876596E0
2.281732875E0,-1.882485352E0,9.315877533E0,2.672841797E0,9.872862228E0
2.291730875E0,-1.881886597E0,9.350305939E0,2.633323975E0,9.894650750E0
2.301728875E0,-1.866019592E0,9.369466095E0,2.647394714E0,9.913507089E0
2.311727875E0,-1.846709747E0,9.377549286E0,2.633323975E0,9.913786494E0
2.321725875E0,-1.791923676E0,9.370214539E0,2.560724945E0,9.877713460E0
2.331723875E0,-1.756447449E0,9.361981659E0,2.474504242E0,9.841492746E0
2.341721875E0,-1.741328888E0,9.352551270E0,2.415227509E0,9.815078475E0
2.351719875E0,-1.713786163E0,9.360335083E0,2.397414551E0,9.813283467E0
2.361718875E0,-1.732048187E0,9.358389130E0,2.445614319E0,9.826518581E0
2.371716875E0,-1.792522430E0,9.347461853E0,2.495760040E0,9.839562894E0
2.381714875E0,-1.866318970E0,9.322463837E0,2.567460938E0,9.848011685E0
2.391712875E0,-1.932930450E0,9.286688232E0,2.614463196E0,9.839421541E0
2.401710875E0,-2.014510803E0,9.258846130E0,2.651585999E0,9.839481376E0
2.411709875E0,-2.031425629E0,9.230255585E0,2.679727478E0,9.823708444E0
2.421707875E0,-2.027833099E0,9.210496674E0,2.696642303E0,9.809038473E0
2.431705875E0,-2.021995239E0,9.201365662E0,2.681823120E0,9.795191169E0
2.441703875E0,-2.012415161E0,9.168434143E0,2.681972809E0,9.762324393E0
2.451701875E0,-1.985920258E0,9.129664764E0,2.680326233E0,9.720020920E0
2.461700875E0,-1.969304810E0,9.140891418E0,2.663710785E0,9.722623746E0
2.471698875E0,-1.949396210E0,9.162147217E0,2.657723236E0,9.736969755E0
2.481696875E0,-1.966460724E0,9.172924805E0,2.650987244E0,9.748705074E0
2.491694875E0,-2.036515045E0,9.172775116E0,2.651436310E0,9.763058504E0
2.501692875E0,-2.116448822E0,9.156459045E0,2.671943665E0,9.770331663E0
2.511691875E0,-2.157613220E0,9.157357178E0,2.708318024E0,9.790172205E0
2.521689875E0,-2.179168396E0,9.167236633E0,2.767145691E0,9.820595586E0
2.531687875E0,-2.188898163E0,9.190588074E0,2.784359894E0,9.849408324E0
2.541685875E0,-2.226020966E0,9.192683716E0,2.767894135E0,9.855041409E0
2.551684875E0,-2.254461823E0,9.175918579E0,2.701881409E0,9.827524766E0
2.561682875E0,-2.263742523E0,9.151519318E0,2.621797943E0,9.785124449E0
2.571680875E0,-2.215542755E0,9.165140991E0,2.584076385E0,9.776803662E0
2.581678875E0,-2.137704620E0,9.203910370E0,2.624043274E0,9.806495309E0
2.591676875E0,-2.057471466E0,9.236542511E0,2.721939697E0,9.846616785E0
2.601675875E0,-2.038910065E0,9.289682007E0,2.772983551E0,9.906804925E0
2.611673875E0,-2.064955902E0,9.317524109E0,2.743494873E0,9.930108887E0
2.621671875E0,-2.108365631E0,9.303153992E0,2.688259735E0,9.910631677E0
2.631669875E0,-2.084116058E0,9.291029205E0,2.609972534E0,9.873131219E0
2.641667875E0,-2.008373566E0,9.281000061E0,2.560575256E0,9.834992230E0
2.651666875E0,-1.878743134E0,9.259744263E0,2.544408875E0,9.785016918E0
2.661664875E0,-1.786684570E0,9.254205780E0,2.573897552E0,9.770236178E0
2.671662875E0,-1.739083557E0,9.245673523E0,2.594853973E0,9.759106396E0
2.681660875E0,-1.734592896E0,9.246122589E0,2.612217865E0,9.763364052E0
2.691658875E0,-1.761985931E0,9.257498932E0,2.587219849E0,9.772389034E0
2.701657875E0,-1.810634766E0,9.258397064E0,2.543510742E0,9.770658184E0
2.711655875E0,-1.856289825E0,9.276060333E0,2.519560547E0,9.789754469E0
2.721653875E0,-1.870061188E0,9.306746521E0,2.527643738E0,9.823524954E0
2.731651875E0,-1.836830292E0,9.326804810E0,2.539169769E0,9.839238619E0
2.741650875E0,-1.785487061E0,9.334738312E0,2.541265411E0,9.837852067E0
2.751648875E0,-1.772464142E0,9.339378662E0,2.560874634E0,9.844983586E0
2.761646875E0,-1.781146088E0,9.324260101E0,2.586022339E0,9.838791560E0
2.771644875E0,-1.815125427E0,9.281449127E0,2.601290588E0,9.808500953E0
2.781642875E0,-1.841021576E0,9.253008270E0,2.617307281E0,9.790700685E0
2.791641875E0,-1.867217102E0,9.261091461E0,2.639311523E0,9.809193651E0
2.801639875E0,-1.911075897E0,9.280850372E0,2.621498566E0,9.831513080E0
2.811637875E0,-1.949994965E0,9.281898193E0,2.620899811E0,9.839981212E0
2.821635875E0,-1.981279907E0,9.275461578E0,2.618205414E0,9.839443945E0
2.831633875E0,-1.990111542E0,9.270372162E0,2.595303040E0,9.830358174E0
2.841632875E0,-1.984423370E0,9.268426208E0,2.566413116E0,9.819782929E0
2.851630875E0,-1.983225861E0,9.267378387E0,2.563718719E0,9.817848067E0
2.861628875E0,-1.966161346E0,9.248068542E0,2.581381989E0,9.800821148E0
2.871626875E0,-1.926493835E0,9.251361694E0,2.618804169E0,9.805978124E0
2.881624875E0,-1.923500061E0,9.267977142E0,2.645748138E0,9.828287542E0
2.891623875E0,-1.924248505E0,9.311686249E0,2.645149384E0,9.869500918E0
2.901621875E0,-1.932331696E0,9.322763214E0,2.620750122E0,9.875026629E0
2.911619875E0,-1.953288116E0,9.292077026E0,2.608775024E0,9.847016658E0
2.921617875E0,-1.974394226E0,9.263486481E0,2.629581757E0,9.829807452E0
2.931615875E0,-1.967957611E0,9.259594574E0,2.662213898E0,9.833632679E0
2.941614875E0,-1.952988739E0,9.243428192E0,2.671644287E0,9.817984159E0
2.951612875E0,-1.962119751E0,9.217681732E0,2.685116272E0,9.799256085E0
2.961610875E0,-1.998643799E0,9.183702393E0,2.633024597E0,9.760521769E0
2.971608875E0,-2.002236328E0,9.150321808E0,2.580633545E0,9.715812318E0
2.981607875E0,-1.990410919E0,9.175768890E0,2.577490082E0,9.736525329E0
2.991605875E0,-1.928739166E0,9.230704651E0,2.652184753E0,9.795918900E0
